a	3.3844186012320447
b	4.571903651903652
c	6.565201857806359
d	5.653363797918253
e	6.0105919003115265
f	5.084103179364127
g	5.517767833640431
h	3.902831155521394
i	3.141337386018237
j	4.685469475187433
k	5.132145052243393
l	5.144624981135872
m	4.992715998655261
n	4.329627695292099
o	2.82933814830957
p	6.584160116823433
q	6.113682777399592
r	6.426794468427599
s	5.148828229301456
t	3.636275394148561
u	5.010820244328098
v	5.809677419354839
w	4.46050039135246
x	3.3380281690140845
y	3.664545888341021
z	4.636690647482014
